TripDate,FixedLocationID,StationName,Replicate,QuadratNumber,NumLegal
4/28/2025,391,RESTORE-01,1,1,3
4/28/2025,391,RESTORE-01,1,2,4
4/28/2025,391,RESTORE-01,1,3,8
4/28/2025,391,RESTORE-01,1,4,0
4/28/2025,391,RESTORE-01,1,5,1
4/28/2025,391,RESTORE-01,1,6,4
4/28/2025,391,RESTORE-01,1,7,3
4/28/2025,391,RESTORE-01,1,8,4
4/28/2025,391,RESTORE-01,1,9,6
4/28/2025,391,RESTORE-01,1,10,1
4/28/2025,391,RESTORE-01,2,1,2
4/28/2025,391,RESTORE-01,2,2,0
4/28/2025,391,RESTORE-01,2,3,3
4/28/2025,391,RESTORE-01,2,4,1
4/28/2025,391,RESTORE-01,2,5,0
4/28/2025,391,RESTORE-01,2,6,0
4/28/2025,391,RESTORE-01,2,7,0
4/28/2025,391,RESTORE-01,2,8,0
4/28/2025,391,RESTORE-01,2,9,0
4/28/2025,391,RESTORE-01,2,10,0
4/28/2025,391,RESTORE-01,3,1,2
4/28/2025,391,RESTORE-01,3,2,6
4/28/2025,391,RESTORE-01,3,3,1
4/28/2025,391,RESTORE-01,3,4,3
4/28/2025,391,RESTORE-01,3,5,12
4/28/2025,391,RESTORE-01,3,6,12
4/28/2025,391,RESTORE-01,3,7,3
4/28/2025,391,RESTORE-01,3,8,8
4/28/2025,391,RESTORE-01,3,9,2
4/28/2025,391,RESTORE-01,3,10,2
4/28/2025,391,RESTORE-01,4,1,13
4/28/2025,391,RESTORE-01,4,2,12
4/28/2025,391,RESTORE-01,4,3,4
4/28/2025,391,RESTORE-01,4,4,1
4/28/2025,391,RESTORE-01,4,5,3
4/28/2025,391,RESTORE-01,4,6,7
4/28/2025,391,RESTORE-01,4,7,4
4/28/2025,391,RESTORE-01,4,8,8
4/28/2025,391,RESTORE-01,4,9,7
4/28/2025,391,RESTORE-01,4,10,1
5/1/2025,391,RESTORE-01,5,1,9
5/1/2025,391,RESTORE-01,5,2,4
5/1/2025,391,RESTORE-01,5,3,10
5/1/2025,391,RESTORE-01,5,4,16
5/1/2025,391,RESTORE-01,5,5,4
5/1/2025,391,RESTORE-01,5,6,7
5/1/2025,391,RESTORE-01,5,7,8
5/1/2025,391,RESTORE-01,5,8,13
5/1/2025,391,RESTORE-01,5,9,17
5/1/2025,391,RESTORE-01,5,10,7
5/7/2025,392,RESTORE-02,1,1,1
5/7/2025,392,RESTORE-02,1,2,4
5/7/2025,392,RESTORE-02,1,3,1
5/7/2025,392,RESTORE-02,1,4,3
5/7/2025,392,RESTORE-02,1,5,0
5/7/2025,392,RESTORE-02,1,6,0
5/7/2025,392,RESTORE-02,1,7,0
5/7/2025,392,RESTORE-02,1,8,0
5/7/2025,392,RESTORE-02,1,9,0
5/7/2025,392,RESTORE-02,1,10,0
5/7/2025,392,RESTORE-02,2,1,1
5/7/2025,392,RESTORE-02,2,2,2
5/7/2025,392,RESTORE-02,2,3,7
5/7/2025,392,RESTORE-02,2,4,23
5/7/2025,392,RESTORE-02,2,5,7
5/7/2025,392,RESTORE-02,2,6,9
5/7/2025,392,RESTORE-02,2,7,16
5/7/2025,392,RESTORE-02,2,8,24
5/7/2025,392,RESTORE-02,2,9,9
5/7/2025,392,RESTORE-02,2,10,13
