TripDate,FixedLocationID,StationName,Replicate,QuadratNumber,NumLegal
4/24/2026,391,RESTORE-01,1,1,3
4/24/2026,391,RESTORE-01,1,2,1
4/24/2026,391,RESTORE-01,1,3,1
4/24/2026,391,RESTORE-01,1,4,0
4/24/2026,391,RESTORE-01,1,5,0
4/24/2026,391,RESTORE-01,1,6,2
4/24/2026,391,RESTORE-01,1,7,2
4/24/2026,391,RESTORE-01,1,8,1
4/24/2026,391,RESTORE-01,1,9,2
4/24/2026,391,RESTORE-01,1,10,1
4/24/2026,391,RESTORE-01,2,1,3
4/24/2026,391,RESTORE-01,2,2,3
4/24/2026,391,RESTORE-01,2,3,4
4/24/2026,391,RESTORE-01,2,4,5
4/24/2026,391,RESTORE-01,2,5,0
4/24/2026,391,RESTORE-01,2,6,3
4/24/2026,391,RESTORE-01,2,7,4
4/24/2026,391,RESTORE-01,2,8,0
4/24/2026,391,RESTORE-01,2,9,3
4/24/2026,391,RESTORE-01,2,10,3
4/24/2026,391,RESTORE-01,3,1,5
4/24/2026,391,RESTORE-01,3,2,1
4/24/2026,391,RESTORE-01,3,3,0
4/24/2026,391,RESTORE-01,3,4,1
4/24/2026,391,RESTORE-01,3,5,7
4/24/2026,391,RESTORE-01,3,6,1
4/24/2026,391,RESTORE-01,3,7,3
4/24/2026,391,RESTORE-01,3,8,1
4/24/2026,391,RESTORE-01,3,9,7
4/24/2026,391,RESTORE-01,3,10,9
4/24/2026,391,RESTORE-01,4,1,8
4/24/2026,391,RESTORE-01,4,2,7
4/24/2026,391,RESTORE-01,4,3,7
4/24/2026,391,RESTORE-01,4,4,12
4/24/2026,391,RESTORE-01,4,5,7
4/24/2026,391,RESTORE-01,4,6,9
4/24/2026,391,RESTORE-01,4,7,15
4/24/2026,391,RESTORE-01,4,8,11
4/24/2026,391,RESTORE-01,4,9,4
4/24/2026,391,RESTORE-01,4,10,9
5/4/2026,391,RESTORE-01,5,1,3
5/4/2026,391,RESTORE-01,5,2,1
5/4/2026,391,RESTORE-01,5,3,1
5/4/2026,391,RESTORE-01,5,4,6
5/4/2026,391,RESTORE-01,5,5,2
5/4/2026,391,RESTORE-01,5,6,0
5/4/2026,391,RESTORE-01,5,7,6
5/4/2026,391,RESTORE-01,5,8,11
5/4/2026,391,RESTORE-01,5,9,2
5/4/2026,391,RESTORE-01,5,10,4
5/8/2026,392,RESTORE-02,1,1,4
5/8/2026,392,RESTORE-02,1,2,4
5/8/2026,392,RESTORE-02,1,3,2
5/8/2026,392,RESTORE-02,1,4,5
5/8/2026,392,RESTORE-02,1,5,1
5/8/2026,392,RESTORE-02,1,6,6
5/8/2026,392,RESTORE-02,1,7,1
5/8/2026,392,RESTORE-02,1,8,1
5/8/2026,392,RESTORE-02,1,9,0
5/8/2026,392,RESTORE-02,1,10,2
5/8/2026,392,RESTORE-02,2,1,0
5/8/2026,392,RESTORE-02,2,2,4
5/8/2026,392,RESTORE-02,2,3,0
5/8/2026,392,RESTORE-02,2,4,1
5/8/2026,392,RESTORE-02,2,5,3
5/8/2026,392,RESTORE-02,2,6,2
5/8/2026,392,RESTORE-02,2,7,4
5/8/2026,392,RESTORE-02,2,8,13
5/8/2026,392,RESTORE-02,2,9,8
5/8/2026,392,RESTORE-02,2,10,7
5/8/2026,392,RESTORE-02,3,1,4
5/8/2026,392,RESTORE-02,3,2,0
5/8/2026,392,RESTORE-02,3,3,0
5/8/2026,392,RESTORE-02,3,4,0
5/8/2026,392,RESTORE-02,3,5,0
5/8/2026,392,RESTORE-02,3,6,0
5/8/2026,392,RESTORE-02,3,7,0
5/8/2026,392,RESTORE-02,3,8,0
5/8/2026,392,RESTORE-02,3,9,0
5/8/2026,392,RESTORE-02,3,10,0
5/14/2026,393,RESTORE-03,1,1,8
5/14/2026,393,RESTORE-03,1,2,1
5/14/2026,393,RESTORE-03,1,3,10
