"Group1"	"Year1"	"Group2"	"Year2"	"estimate"	"SE"	"df"	"z.ratio"	"p.value"	"keep"	"p_adj"
"West Section"	"2016 "	"West Section"	"2023"	-0.159660203057232	0.0324444882606299	Inf	-4.92102701003219	0	"Keep"	0.001
"Central Section"	"2016 "	"Central Section"	"2017"	-0.210686798997768	0.0324445799441812	Inf	-6.49374408176161	0	"Keep"	0
"Central Section"	"2016 "	"Central Section"	"2018"	-0.247067489892544	0.0342556027753919	Inf	-7.21246949039322	0	"Keep"	0
"Central Section"	"2016 "	"Central Section"	"2021"	-0.332670762391956	0.0377967016385285	Inf	-8.80158183043263	0	"Keep"	0
"Central Section"	"2016 "	"Central Section"	"2022"	-0.273094904609354	0.0324445730810607	Inf	-8.41727533067067	0	"Keep"	0
"Central Section"	"2016 "	"Central Section"	"2023"	-0.159335632173717	0.0324445873633598	Inf	-4.91100812561596	0	"Keep"	0.001
"Central Section"	"2019 "	"Central Section"	"2021"	-0.214622472282536	0.0379144474074009	Inf	-5.66070421589849	0	"Keep"	0
"Central Section"	"2019 "	"Central Section"	"2022"	-0.155046614499934	0.0325816664690956	Inf	-4.75870731311424	0	"Keep"	0.001
"Central Section"	"2021 "	"Central Section"	"2023"	0.173335130218239	0.0377966159350566	Inf	4.58599601922217	0.001	"Keep"	0.003
"East Section"	"2016 "	"East Section"	"2018"	0.150112213336454	0.0340280439882114	Inf	4.41142645132523	0.001	"Keep"	0.005
"East Section"	"2016 "	"East Section"	"2019"	0.165714099564738	0.0330187429380766	Inf	5.01878887017349	0	"Keep"	0.001
"East Section"	"2016 "	"East Section"	"2022"	0.130218371308991	0.0324444690012853	Inf	4.01357689977396	0.008	"Keep"	0.024
"East Section"	"2017 "	"East Section"	"2018"	0.159650899707543	0.0340799048932973	Inf	4.68460520084792	0	"Keep"	0.002
"East Section"	"2017 "	"East Section"	"2019"	0.175252785935827	0.0330721865784996	Inf	5.29909885213818	0	"Keep"	0
"East Section"	"2017 "	"East Section"	"2022"	0.13975705768008	0.0324988570360255	Inf	4.3003683952687	0.002	"Keep"	0.008
