"Group"	"Year"	"CI"
"West Section"	"2016"	2.52370039074852
"West Section"	"2017"	2.63732221124209
"West Section"	"2022"	2.67124205227261
"West Section"	"2023"	2.96059111048601
"Central Section"	"2016"	2.36648581286979
"Central Section"	"2017"	2.92152604522358
"Central Section"	"2018"	3.02976854372844
"Central Section"	"2019"	2.66303347023878
"Central Section"	"2021"	3.30056894289555
"Central Section"	"2022"	3.10966514432121
"Central Section"	"2023"	2.77528658698036
"East Section"	"2016"	3.19258701387636
"East Section"	"2017"	3.22318713015778
"East Section"	"2018"	2.74757295360362
"East Section"	"2019"	2.70504029493544
"East Section"	"2021"	2.81502096638901
"East Section"	"2022"	2.80277898492327
"East Section"	"2023"	2.99111367482337
