"","OysterID","SampleEventID","ShellHeight","ShellLength","ShellWidth","TotalWeight","TarePanWeight","TissueWetWeight","ShellWetWeight","TissueDryWeight","ShellDryWeight","DataStatus","DateEntered","EnteredBy","DateProofed","ProofedBy","DateCompleted","CompletedBy","OldSampleNumber","Comments","AdminNotes"
"1","ABEC1807-18","ABCOLL_20180703_1_0090_1",54.38,44.05,17.81,43.41,0.99,4.76,35.88,1.73,34.08,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-768",NA,NA
"2","ABEC1807-19","ABCOLL_20180703_1_0090_1",62.55,62.55,28.65,82.16,0.96,6.22,68.73,1.87,65.97,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-769",NA,NA
"3","ABEC1807-20","ABCOLL_20180703_1_0090_1",54.85,35.09,14.63,24.46,0.97,3.11,20.61,1.37,19.39,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-770",NA,NA
"4","ABEC1807-21","ABCOLL_20180703_1_0090_1",61.47,42.49,19.7,52.14,0.98,4.65,43.17,1.63,42.12,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-771",NA,NA
"5","ABEC1807-22","ABCOLL_20180703_1_0090_1",69.58,57.39,32.63,108.4,1,7.86,89.05,2.14,83.68,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-772",NA,NA
"6","ABEC1807-23","ABCOLL_20180703_1_0090_1",52.16,46.71,27.3,55.5,0.99,4.52,48.01,1.6,46.98,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-773",NA,NA
"7","ABEC1807-24","ABCOLL_20180703_1_0090_1",46.06,33.32,17.6,24.6,0.98,2.9,20.38,1.35,19.81,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-774",NA,NA
"8","ABEC1807-25","ABCOLL_20180703_1_0090_1",51.93,42.04,18.84,36.62,0.98,4.16,31.33,1.65,30.64,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-775",NA,NA
"9","ABEC1808-01","ABCOLL_20180806_1_0090_1",91.63,67.87,41.43,189.96,0.96,14.1,152.14,2.86,143.52,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-776",NA,NA
"10","ABEC1808-02","ABCOLL_20180806_1_0090_1",76.72,67,35.95,147.68,1,12.42,121.89,2.57,114.48,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-777",NA,NA
"11","ABEC1808-03","ABCOLL_20180806_1_0090_1",57.7,50.77,26.83,61.22,0.99,6.99,49.01,2.15,47.64,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-778",NA,NA
"12","ABEC1808-04","ABCOLL_20180806_1_0090_1",75.67,61.29,35.49,122.07,0.96,8.81,103.39,2.27,96.67,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-779",NA,NA
"13","ABEC1808-05","ABCOLL_20180806_1_0090_1",66.26,57.24,32.39,111.45,0.98,10.07,91.58,2.18,84.91,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-780",NA,NA
"14","ABEC1808-06","ABCOLL_20180806_1_0090_1",74.12,64.58,33.02,133.41,0.97,8.4,111.31,2.11,105.97,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-781",NA,NA
"15","ABEC1808-07","ABCOLL_20180806_1_0090_1",70.89,67.25,36.72,128.81,0.98,12.1,105.05,2.84,99.64,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-782",NA,NA
"16","ABEC1808-08","ABCOLL_20180806_1_0090_1",71.31,68.27,30.47,102.28,0.99,7.14,85.53,2.01,81.49,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-783",NA,NA
"17","ABEC1808-09","ABCOLL_20180806_1_0090_1",50.49,36.56,15.2,26.73,1,4.55,21.38,1.56,20.41,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-784",NA,NA
"18","ABEC1808-10","ABCOLL_20180806_1_0090_1",68.13,54.33,34.18,101.25,0.99,10.89,79.61,2.57,73.8,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-785",NA,NA
"19","ABEC1808-11","ABCOLL_20180806_1_0090_1",48.57,35.01,24.14,30.96,0.98,3.52,26.48,1.42,25.05,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-786",NA,NA
"20","ABEC1808-12","ABCOLL_20180806_1_0090_1",49.34,43.58,22.27,42.64,0.98,4.91,35.59,1.76,34.68,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-787",NA,NA
"21","ABEC1808-13","ABCOLL_20180806_1_0090_1",44.54,38.95,21.97,26.79,0.98,3.29,21.3,1.39,20.62,"Completed",NA,NA,NA,NA,"2024-02-14 00:00:00","Matthew Davis","AB-WE-788",NA,NA
